,word,tag,level_freq@a1,level_freq@a2,level_freq@b1,level_freq@b2,level_freq@c1,total_freq@total,nb_doc@a1,nb_doc@a2,nb_doc@b1,nb_doc@b2,nb_doc@c1,nb_doc@total
14111,twenty-one,CD,7.4378,4.2508,8.5979,8.0591,1.8171,10.7657,2.0,2.0,2.0,5.0,1.0,12.0
14112,twenty-seven,CD,0.0,0.0,0.0,0.8294,1.0665,0.7336,0.0,0.0,0.0,1.0,1.0,2.0
14113,twenty-seventh,JJ,0.0,0.0,0.0,0.0,1.0665,0.0796,0.0,0.0,0.0,0.0,1.0,1.0
14114,twenty-six,CD,0.0,0.0,0.0,0.6729,0.9086,0.6731,0.0,0.0,0.0,1.0,1.0,2.0
14115,twenty-three,CD,0.0,0.0,0.0,4.0091,0.9605,1.4747,0.0,0.0,0.0,2.0,1.0,3.0
14116,twenty-two,CD,0.0,0.7704,0.0,3.8497,0.0,1.4058,0.0,1.0,0.0,2.0,0.0,3.0
14117,twenty_thousand,CD,2.3682,0.0,0.0,0.0,0.0,0.0252,1.0,0.0,0.0,0.0,0.0,1.0
14118,twice,RB,51.2985,31.9166,91.9815,50.9708,48.8564,51.3651,5.0,7.0,13.0,13.0,10.0,48.0
14119,twice-yearly,JJ,0.0,0.0,0.0,0.5926,0.0,0.0504,0.0,0.0,0.0,1.0,0.0,1.0
14120,twin,NN,0.0,1.1119,5.4488,6.6522,146.4662,32.5738,0.0,2.0,2.0,4.0,16.0,24.0
14121,twin,JJ,0.0,4.7347,1.3622,0.8294,1.0665,2.7979,0.0,2.0,1.0,1.0,1.0,5.0
14122,twin-bed,NN,0.0,0.0,0.0,0.1311,0.0,0.0314,0.0,0.0,0.0,1.0,0.0,1.0
14123,twin-bedded,JJ,0.0,0.0,0.296,0.0,0.0,0.0314,0.0,0.0,1.0,0.0,0.0,1.0
14124,twin_brother,NN,0.0,0.7704,0.0,0.0,0.0,0.0292,0.0,1.0,0.0,0.0,0.0,1.0
14125,twist,VB,9.4728,0.4299,0.0,37.3153,43.0222,23.3971,2.0,1.0,0.0,9.0,13.0,25.0
14126,twist,NN,0.0,0.0,0.0,0.5926,0.9357,0.6615,0.0,0.0,0.0,1.0,1.0,2.0
